candidate,seed,phase,val_rmse,best_epoch,epochs,n_params,seconds,config_latent_dim,config_g_embed_dim,config_ode_hidden,config_ode_layers,config_dec_hidden,config_enc_hidden,config_time_mode,config_lr,config_weight_decay,config_physic,config_ymax,config_mono,config_epochs,val_rrmse_percent
c000,1,screen,111.15255860198322,30,1500,3187,180.01839720457792,16,4,16,1,16,8,calendar,0.01,0.0001,2.0,0.1,0.0,1500,43.85396057398297
c001,1,screen,60.36056912498379,140,1500,3187,181.69177217036486,16,4,16,1,16,8,calendar,0.001,0.0001,0.0,0.1,0.0,1500,23.814566681355576
c002,1,screen,60.363529381746176,130,1500,3187,184.66125608980656,16,4,16,1,16,8,calendar,0.001,0.0001,0.1,0.1,0.0,1500,23.815734616533852
c004,1,screen,60.43468818214195,130,1500,3187,166.5146242827177,16,4,16,1,16,8,calendar,0.001,0.0001,2.0,0.1,0.0,1500,23.843809500875672
c003,1,screen,60.37425984885982,130,1500,3187,170.36282455548644,16,4,16,1,16,8,calendar,0.001,0.0001,0.5,0.1,0.0,1500,23.819968198627333
c005,1,screen,71.98261931070773,50,1500,3187,171.54494754225016,16,4,16,1,16,8,calendar,0.003,0.0001,0.0,0.1,0.0,1500,28.399912597310905
c006,1,screen,72.00975065923745,50,1500,3187,175.40174312889576,16,4,16,1,16,8,calendar,0.003,0.0001,0.1,0.1,0.0,1500,28.41061695808952
c007,1,screen,72.04420618596501,50,1500,3187,174.74208016321063,16,4,16,1,16,8,calendar,0.003,0.0001,0.5,0.1,0.0,1500,28.424210988939286
c008,1,screen,72.14785175287085,50,1500,3187,175.23614590242505,16,4,16,1,16,8,calendar,0.003,0.0001,2.0,0.1,0.0,1500,28.465103152483916
c011,1,screen,80.53276270500959,40,1500,3187,178.81183883920312,16,4,16,1,16,8,calendar,0.005,0.0001,0.5,0.1,0.0,1500,31.77327310319245
c009,1,screen,80.60984926769042,40,1500,3187,228.65398958325386,16,4,16,1,16,8,calendar,0.005,0.0001,0.0,0.1,0.0,1500,31.80368671780563
c010,1,screen,80.59543833195728,40,1500,3187,234.9949628636241,16,4,16,1,16,8,calendar,0.005,0.0001,0.1,0.1,0.0,1500,31.798001049248608
c012,1,screen,80.47425891658322,40,1500,3187,177.88980576768517,16,4,16,1,16,8,calendar,0.005,0.0001,2.0,0.1,0.0,1500,31.750191107929837
c013,1,screen,116.17611777302896,30,1500,3187,247.4504880644381,16,4,16,1,16,8,calendar,0.01,0.0001,0.0,0.1,0.0,1500,45.835947930810036
c014,1,screen,115.74837704472846,30,1500,3187,235.77145076170564,16,4,16,1,16,8,calendar,0.01,0.0001,0.1,0.1,0.0,1500,45.667187757668664
c015,1,screen,113.02916823178649,30,1500,3187,177.42543188855052,16,4,16,1,16,8,calendar,0.01,0.0001,0.5,0.1,0.0,1500,44.59435526892507
c017,1,screen,103.07856646660578,360,1500,11275,315.79604019224644,32,8,16,2,16,32,calendar,0.0005,1e-05,0.1,0.5,0.0,1500,40.66846005799958
c018,1,screen,61.70863561484237,50,1500,9515,258.212712071836,8,16,32,2,16,8,thermal_rate,0.003,0.001,0.5,0.1,0.0,1500,24.34643077374284
c016,1,screen,53.04790080686545,160,1500,4115,344.33133279532194,8,4,32,2,16,8,thermal_feature,0.001,0.0,0.1,0.1,0.0,1500,20.929437700549062
c020,1,screen,62.714890948935775,70,1500,5931,179.65153658762574,16,8,32,1,32,8,calendar,0.005,1e-05,2.0,0.1,0.0,1500,24.743437215193346
